オーダー№ 測定投入日 測定投入時間 測定完了日 測定完了時間 測定機№ 
10FRE103S0 20200628 742 20200628 1108 LH26 
10G1E20200 20200628 19 20200628 1834 LH25 
10FVE20400 20200628 646 20200628 1855 LH12 
10FSE104S0 20200628 1119 20200628 2058 LH26 
10FFFA0300 20200628 1048 20200629 427 LH02 
10FVE20100 20200628 2118 20200629 1229 LH26 
10FWE20200 20200628 1918 20200629 1338 LH25 
10FWE20300 20200628 2009 20200629 2005 LH12 
10FUE20200 20200628 135 20200629 2158 LH45 
10EXEB020A 20200629 1020 20200630 230 LH62 
10E5EA0500 20200629 1044 20200630 502 LM07 
10FFFA030A 20200629 451 20200630 524 LH02 
10EBC30300 20200629 1407 20200630 743 LH25 
10ECC30100 20200629 1320 20200630 700 LH26 
10EDDA020A 20200628 2208 20200630 200 LT82 
10FFFA030B 20200630 543 20200630 1055 LH02 
10EEDA0100 20200629 1227 20200630 1111 LT79 
10DGD10100 20200629 253 20200630 1431 LH07 
10EBC30200 20200629 2043 20200630 1642 LH12 
10G3FA0100 20200628 1600 20200630 2121 LH04 
10EBC30400 20200630 730 20200701 403 LH26 
10EEDA010A 20200630 1124 20200701 854 LT79 
10EFDA0100 20200630 329 20200701 904 LT82 
10ECC30200 20200701 50 20200702 38 LH25 
10G1E20300 20200701 205 20200702 349 LH45 
10EFDA010A 20200701 919 20200702 401 LT82 
10FJE383N0 20200701 317 20200702 700 LH03 
10EEDA010B 20200701 912 20200701 2200 LT79 
10GDFA04N0 20200701 1928 20200702 1205 LH62 
10G1E2030A 20200702 415 20200702 2133 LH45 
10G3FA0200 20200630 2334 20200702 2154 LH04 
10E6EA0100 20200701 1029 20200703 14 LH47 
10EFDA010B 20200702 423 20200703 311 LT82 
10G6FA0500 20200701 2244 20200703 358 LT79 
10EFDA010C 20200703 333 20200703 1348 LT82 
10GFFA0200 20200703 137 20200703 1840 LH62 
10E6EA010A 20200703 33 20200703 2009 LH47 
10EEC30200 20200703 213 20200703 2149 LH26 
10ETE1820A 20200702 844 20200704 8 LH03 
10ECC30300 20200703 758 20200704 429 LH25 
10G1E20400 20200702 2227 20200704 745 LH45 
10F5FA0700 20200630 1637 20200704 1109 LH08 
10EDC30100 20200703 2211 20200704 1348 LH26 
10GLFA0400 20200630 1303 20200704 1520 LH31 
10EEC30300 20200704 726 20200704 1855 LH25 
10G2E20100 20200704 759 20200705 714 LH45 
10G4FA0100 20200702 2225 20200705 734 LH04 
10EGD10500 20200704 447 20200705 743 LH12 
10G6FA050A 20200703 414 20200704 1820 LT79 
10EDC30200 20200704 1427 20200705 1008 LH26 
10EDC30300 20200704 1951 20200705 1226 LH25 
10GLFA01F0 20200702 257 20200705 1342 LH33 
10G7FA0300 20200703 1433 20200705 2305 LT82 
10G5FA0100 20200704 2059 20200706 1559 LH03 
10G9FA0300 20200704 1924 20200706 2000 LT79 
10F6FA0700 20200704 1210 20200706 2115 LH08 
